Date, Vis Team, Home Team, Vis Spread, Home Spread, Over Under
2015-10-08, Colts, Texans, +5.0, -5.0, +40.5
2015-10-11, Jaguars, Buccaneers, +2.0, -2.0, +41.5
2015-10-11, Bills, Titans, +1.0, -1.0, +43.0
2015-10-11, Browns, Ravens, +6.5, -6.5, +43.0
2015-10-11, Redskins, Falcons, +7.0, -7.0, +48.0
2015-10-11, Bears, Chiefs, +10.0, -10.0, +44.5
2015-10-11, Rams, Packers, +9.5, -9.5, +45.0
2015-10-11, Broncos, Raiders, -4.5, +4.5, +45.0
2015-10-11, 49ers, Giants, +7.0, -7.0, +43.5
2015-10-11, Saints, Eagles, +6.5, -6.5, +49.0
2015-10-11, Patriots, Cowboys, -8.0, +8.0, +50.5
2015-10-11, Seahawks, Bengals, +3.0, -3.0, +44.0
2015-10-11, Cardinals, Lions, -4.0, +4.0, +46.0
2015-10-12, Steelers, Chargers, +4.0, -4.0, +45.5
