Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-10-30, Dolphins, 15, 13, 255, 44, 28, 7, 40, 0, 2, 18, 11, 2, 2, 1, 1643, 7, Patriots, 95, 26, 342, 38, 26, 8, 69, 0, 0, 24, 12, 3, 1, 1, 1957, 36
2015-11-01, Cardinals, 119, 38, 372, 38, 23, 5, 25, 3, 1, 25, 16, 13, 0, 0, 2063, 34, Browns, 39, 20, 215, 40, 21, 7, 35, 1, 1, 16, 16, 9, 1, 0, 1537, 20
2015-11-01, Lions, 81, 14, 195, 38, 23, 8, 81, 0, 2, 16, 12, 2, 2, 1, 1546, 10, Chiefs, 206, 32, 134, 28, 20, 3, 20, 0, 0, 24, 13, 8, 0, 0, 2054, 45
2015-11-01, Giants, 87, 21, 329, 41, 30, 6, 53, 1, 0, 28, 8, 1, 2, 2, 1501, 49, Saints, 103, 26, 505, 50, 39, 12, 93, 0, 2, 35, 11, 7, 1, 1, 2099, 52
2015-11-01, Vikings, 147, 25, 180, 30, 17, 4, 35, 0, 1, 17, 12, 5, 0, 0, 1638, 23, Bears, 97, 25, 208, 33, 22, 4, 38, 0, 0, 18, 12, 3, 1, 1, 1962, 20
2015-11-01, Jets, 74, 21, 292, 47, 31, 6, 40, 0, 1, 22, 16, 7, 3, 1, 1762, 20, Raiders, 118, 25, 333, 36, 23, 6, 61, 0, 0, 21, 10, 4, 0, 0, 1838, 34
2015-11-01, Chargers, 81, 26, 290, 37, 28, 6, 66, 0, 0, 22, 13, 7, 0, 0, 1806, 26, Ravens, 72, 25, 293, 37, 25, 5, 46, 0, 0, 23, 12, 5, 1, 1, 1794, 29
2015-11-01, Seahawks, 113, 31, 210, 30, 19, 5, 40, 0, 1, 19, 12, 5, 0, 0, 1778, 13, Cowboys, 129, 30, 91, 26, 13, 5, 40, 0, 0, 14, 14, 4, 2, 1, 1822, 12
2015-11-01, 49ers, 38, 21, 151, 41, 20, 13, 93, 0, 0, 11, 17, 3, 1, 0, 1682, 6, Rams, 197, 41, 191, 23, 14, 12, 93, 1, 0, 16, 12, 1, 0, 0, 1918, 27
2015-11-01, Buccaneers, 117, 32, 173, 29, 16, 8, 43, 0, 0, 21, 13, 6, 1, 0, 1811, 23, Falcons, 101, 27, 395, 45, 37, 11, 124, 3, 1, 28, 12, 6, 3, 2, 2345, 20
2015-11-01, Titans, 86, 20, 125, 31, 22, 6, 45, 2, 1, 15, 12, 1, 1, 0, 1868, 6, Texans, 56, 23, 214, 35, 23, 7, 85, 0, 0, 14, 15, 4, 1, 0, 1732, 20
2015-11-01, Bengals, 78, 23, 218, 38, 23, 10, 94, 0, 2, 16, 15, 4, 0, 0, 1791, 16, Steelers, 116, 19, 240, 45, 28, 10, 91, 0, 3, 21, 11, 3, 0, 0, 1809, 10
2015-11-01, Packers, 90, 21, 50, 22, 14, 2, 15, 0, 0, 14, 8, 2, 0, 0, 1593, 10, Broncos, 160, 34, 340, 29, 21, 11, 93, 0, 1, 24, 12, 6, 0, 0, 2007, 29
2015-11-02, Colts, 136, 35, 223, 47, 23, 5, 50, 1, 3, 19, 18, 6, 1, 1, 3600, 26, Panthers, 140, 36, 239, 35, 16, 5, 20, 2, 1, 17, 16, 4, 2, 2, 3338, 29
